"username","imgflag","lastupdatetime","reserved1","reserved2","reserved3","reserved4"
"gh_62d5a2e5ec0a","0","1478835066","http://wx.qlogo.cn/mmhead/Q3auHgzwzM6JU53llcSUGYB0nqD9ic8oLQ06xwnXqiaKBiaTE5rEgnhHA/0","http://wx.qlogo.cn/mmhead/Q3auHgzwzM6JU53llcSUGYB0nqD9ic8oLQ06xwnXqiaKBiaTE5rEgnhHA/96","1","0"
"gh_8200feabba03","0","1478835259","http://wx.qlogo.cn/mmhead/ver_1/R35Dhvnvv0y5wiandcBJSed3UxOuKxHNnUagubsMv54q06iamQq6eic7oCaUJUnK8Ply3YhfvvG1d8OwicbnpIocKBTJtlZ92FCI81Oricba6CHo/0","http://wx.qlogo.cn/mmhead/ver_1/R35Dhvnvv0y5wiandcBJSed3UxOuKxHNnUagubsMv54q06iamQq6eic7oCaUJUnK8Ply3YhfvvG1d8OwicbnpIocKBTJtlZ92FCI81Oricba6CHo/96","1","24647254"
"gh_b39593eab2d0","3","1479698178","http://wx.qlogo.cn/mmhead/Q3auHgzwzM6RKMjoT9npI1kjCuR1KZxicW4aGldxlkBvpnfvIS7hITw/0","http://wx.qlogo.cn/mmhead/Q3auHgzwzM6RKMjoT9npI1kjCuR1KZxicW4aGldxlkBvpnfvIS7hITw/96","1","24661636"
"gh_b7d66fa7367a","3","1479799909","http://wx.qlogo.cn/mmhead/Q3auHgzwzM4RmhwHQI03hJDvx91PLKAQTribzibLXOTJFcou59kuXUwg/0","http://wx.qlogo.cn/mmhead/Q3auHgzwzM4RmhwHQI03hJDvx91PLKAQTribzibLXOTJFcou59kuXUwg/96","1","24663331"
"gh_ae698dd716c9","3","1479167608","http://wx.qlogo.cn/mmhead/Q3auHgzwzM7kbwP8glQ2VUzhbzhhRGfvMYkTVJVRJlGuKKiaEt2gRvA/0","http://wx.qlogo.cn/mmhead/Q3auHgzwzM7kbwP8glQ2VUzhbzhhRGfvMYkTVJVRJlGuKKiaEt2gRvA/96","1","24652793"
"wxid_6853388533711","3","1479469805","http://wx.qlogo.cn/mmhead/KFIf4fEubqLCicdvpBtFWgU7Loh8Iaxzb4ptwhawXWg8/0","http://wx.qlogo.cn/mmhead/KFIf4fEubqLCicdvpBtFWgU7Loh8Iaxzb4ptwhawXWg8/96","1","24657830"
"3161386238@chatroom","3","1478840782","","","0","24647346"
"wxid_5htpc7ejb4gq21","3","1479442730","http://wx.qlogo.cn/mmhead/ver_1/221gD9GexCN8hSKOQkiaLKeHgB99J4gkEj1V9Jy2nzKz1Yza7xbh24OD8zLO4wfVGVCrK5jHFiayBTA33BPeVXxA/0","http://wx.qlogo.cn/mmhead/ver_1/221gD9GexCN8hSKOQkiaLKeHgB99J4gkEj1V9Jy2nzKz1Yza7xbh24OD8zLO4wfVGVCrK5jHFiayBTA33BPeVXxA/132","1","24657378"
"gh_02f1f64c1a20","3","1478844394","http://wx.qlogo.cn/mmhead/ver_1/2ycVObiaHLhnuYJiac8tbtsXH8mPwyy1VYCbgtDr1uPc7Bibia5oFbBY5BpfovBWuH34USo2AwsmlRia2l3HcH6jlTI0sLTbTgre92fPFRJM1RnY/0","http://wx.qlogo.cn/mmhead/ver_1/2ycVObiaHLhnuYJiac8tbtsXH8mPwyy1VYCbgtDr1uPc7Bibia5oFbBY5BpfovBWuH34USo2AwsmlRia2l3HcH6jlTI0sLTbTgre92fPFRJM1RnY/96","1","0"
"gh_bd1d94a8b911","3","1478848840","http://wx.qlogo.cn/mmhead/ver_1/pPKjSfWq8Hm7kZLZiay8Zj0kB9iczI9ftYLvz1jNL73oecaQX46CokibUImeAaibdIQom2IW9CqowaJd2vTeUOCSzJiaN146mv3VwpWz7XjPe0xo/0","http://wx.qlogo.cn/mmhead/ver_1/pPKjSfWq8Hm7kZLZiay8Zj0kB9iczI9ftYLvz1jNL73oecaQX46CokibUImeAaibdIQom2IW9CqowaJd2vTeUOCSzJiaN146mv3VwpWz7XjPe0xo/96","1","0"
"gh_04d50135a58e","0","1478848141","http://wx.qlogo.cn/mmhead/ver_1/o2UWSRjhWH0kdqAMSW7aU79F24iaTiaaMLbXSGFb5Yta8qian1S3Vh5TDoqSZWcMdjicsLu4fANLR9bxfvlNozbZ9rdskDYiaTBh3IohczFFBrNI/0","http://wx.qlogo.cn/mmhead/ver_1/o2UWSRjhWH0kdqAMSW7aU79F24iaTiaaMLbXSGFb5Yta8qian1S3Vh5TDoqSZWcMdjicsLu4fANLR9bxfvlNozbZ9rdskDYiaTBh3IohczFFBrNI/96","1","24647469"
"gh_a792d4730585","3","1478848842","http://wx.qlogo.cn/mmhead/ver_1/o0vibzSlk1Ou1Ttefj6ic1XkKEkVFasxv2aC1ebibQaAJbick4TvxnT3iaIpzLLQAP3CAr0aibMJIortaw6Sy0Z5cunhgaKj7SZqLhECgg8v6eles/0","http://wx.qlogo.cn/mmhead/ver_1/o0vibzSlk1Ou1Ttefj6ic1XkKEkVFasxv2aC1ebibQaAJbick4TvxnT3iaIpzLLQAP3CAr0aibMJIortaw6Sy0Z5cunhgaKj7SZqLhECgg8v6eles/96","1","24647480"
"gh_86a68b19f4ff","3","1478848842","http://wx.qlogo.cn/mmhead/ver_1/dRgdyw47oJBGhia3N56XficeHQhA0dk3BBbXrMaeYTibvrFaXZ4GtXavpaVUHAMDXcqV8icaqiaa9RIgHe9d9yX8pZzJP3I4MNwQnob1QM3KL8tQ/0","http://wx.qlogo.cn/mmhead/ver_1/dRgdyw47oJBGhia3N56XficeHQhA0dk3BBbXrMaeYTibvrFaXZ4GtXavpaVUHAMDXcqV8icaqiaa9RIgHe9d9yX8pZzJP3I4MNwQnob1QM3KL8tQ/96","1","24647480"
"gh_ac2e2cebbed2","3","1479824151","http://wx.qlogo.cn/mmhead/Q3auHgzwzM4I6QvqVY5a0CVSw1ccrjKhJcFicShnHibcEPNYKQwTXypw/0","http://wx.qlogo.cn/mmhead/Q3auHgzwzM4I6QvqVY5a0CVSw1ccrjKhJcFicShnHibcEPNYKQwTXypw/96","1","24663735"
"v1_229fd0b201eeafcf283eb5ae300f600cba101f716c673d669cd73deacd34aae36dadac7c4018c89a619975dce89bbe76@stranger","3","1478876248","http://wx.qlogo.cn/mmhead/ver_1/7KzHXIn4KnLq3QUeowarJ0b9u5q8iauuYsQqZZWt5ibFnVJEYH9z5ribSA2Jau56V33jjW2OE0rmazBgMM3HRxGgmxEOwCneh3uibX9pftnkwS4/0","http://wx.qlogo.cn/mmhead/ver_1/7KzHXIn4KnLq3QUeowarJ0b9u5q8iauuYsQqZZWt5ibFnVJEYH9z5ribSA2Jau56V33jjW2OE0rmazBgMM3HRxGgmxEOwCneh3uibX9pftnkwS4/96","1","24647937"
"gh_d8489149b735","3","1479306996","http://wx.qlogo.cn/mmhead/Q3auHgzwzM5pt0eJhiaBD4Vv6yS6rPQyTib1fccP1cBLjECm9z3ibE1YA/0","http://wx.qlogo.cn/mmhead/Q3auHgzwzM5pt0eJhiaBD4Vv6yS6rPQyTib1fccP1cBLjECm9z3ibE1YA/96","1","24655116"
"gh_83c9a5677ae4","3","1479606834","http://wx.qlogo.cn/mmhead/Q3auHgzwzM56WxNbxLGJiada1JsIyia0M32C0cib3bnQgUmznIicx7qEgg/0","http://wx.qlogo.cn/mmhead/Q3auHgzwzM56WxNbxLGJiada1JsIyia0M32C0cib3bnQgUmznIicx7qEgg/96","1","24660113"
"gh_6bb944d7ae04","3","1479739043","http://wx.qlogo.cn/mmhead/Q3auHgzwzM7GbVmGgfxicYZJcH1ibzjUiczSQ3WkIMCqOp2QpEB56fR5w/0","http://wx.qlogo.cn/mmhead/Q3auHgzwzM7GbVmGgfxicYZJcH1ibzjUiczSQ3WkIMCqOp2QpEB56fR5w/96","1","24662317"
"gh_5e3086bd230e","3","1479785374","http://wx.qlogo.cn/mmhead/Q3auHgzwzM7Nyk2o0QbFTBu7hlCjeHE2e3Liamq4e58962rklth5aSw/0","http://wx.qlogo.cn/mmhead/Q3auHgzwzM7Nyk2o0QbFTBu7hlCjeHE2e3Liamq4e58962rklth5aSw/96","1","24663089"
"85850875@chatroom","3","1479828056","","","0","0"
"qq582051595","3","1478917418","http://wx.qlogo.cn/mmhead/ver_1/YtAPXH5byOyP027hibrm9Wn9YNibiaqmxJ85CgDXRbfE63S8pNNiaSEr0CeXekWl2dmO6sOO7nd2dIrDcJKI98Kp6Q/0","http://wx.qlogo.cn/mmhead/ver_1/YtAPXH5byOyP027hibrm9Wn9YNibiaqmxJ85CgDXRbfE63S8pNNiaSEr0CeXekWl2dmO6sOO7nd2dIrDcJKI98Kp6Q/132","1","24648623"
